2.68e-05;2.25e-05;1.69e-05;1.27e-05;0.000481445;0.000359735;7.37e-06
3.16e-05;2.73e-05;2.2e-05;1.81e-05;0.000632654;0.000507606;8e-06
3.43e-05;2.94e-05;2.33e-05;1.85e-05;0.000588714;0.00050043;9.27e-06
2.87e-05;2.38e-05;1.77e-05;1.32e-05;0.000387126;0.000338336;7.71e-06
4.12e-05;3.47e-05;2.62e-05;1.96e-05;0.000752879;0.000588618;1.06e-05
2.91e-05;2.3e-05;1.54e-05;9.83e-06;0.000514286;0.000357754;8.1e-06
2.77e-05;2.31e-05;1.72e-05;1.28e-05;0.00039915;0.000341521;7.68e-06
3.21e-05;2.66e-05;1.92e-05;1.35e-05;0.0005338;0.000429128;8.41e-06
2.38e-05;2.01e-05;1.56e-05;1.22e-05;0.000372151;0.000320381;6.9e-06
3.45e-05;2.9e-05;2.24e-05;1.75e-05;0.000606443;0.000482666;9.59e-06
3.6e-05;2.95e-05;2.14e-05;1.52e-05;0.000675364;0.000497613;1.01e-05
4.1e-05;3.41e-05;2.54e-05;1.88e-05;0.000686549;0.000519153;1.06e-05
3.24e-05;2.71e-05;2.01e-05;1.47e-05;0.000560242;0.000440501;8.73e-06
3.12e-05;2.6e-05;1.98e-05;1.5e-05;0.000484492;0.000388185;8.36e-06
2.8e-05;2.39e-05;1.88e-05;1.5e-05;0.000467598;0.00038841;7.15e-06
2.6e-05;2.09e-05;1.44e-05;9.54e-06;0.000369742;0.000298566;7.57e-06
3.78e-05;3.19e-05;2.45e-05;1.9e-05;0.000661109;0.000511013;9.81e-06
4.18e-05;3.63e-05;2.94e-05;2.4e-05;0.000677401;0.000581332;1.1e-05
3.2e-05;2.7e-05;2.08e-05;1.62e-05;0.00053447;0.000425789;8.32e-06
3.6e-05;2.97e-05;2.15e-05;1.52e-05;0.00056806;0.000468543;9.85e-06
4e-05;3.3e-05;2.39e-05;1.7e-05;0.000719995;0.000526878;1.1e-05
3.43e-05;2.82e-05;2.06e-05;1.5e-05;0.000630844;0.000460946;9.35e-06
3.3e-05;2.8e-05;2.19e-05;1.74e-05;0.000584603;0.000479878;8.68e-06
3.22e-05;2.77e-05;2.22e-05;1.81e-05;0.000540932;0.000464739;8.75e-06
4e-05;3.37e-05;2.56e-05;1.92e-05;0.000580029;0.000502106;1.03e-05
3.33e-05;2.71e-05;1.92e-05;1.33e-05;0.000584697;0.000451396;9.72e-06
2.8e-05;2.28e-05;1.62e-05;1.13e-05;0.000465676;0.00034721;7.61e-06
3.44e-05;2.93e-05;2.3e-05;1.82e-05;0.000504547;0.000433771;8.94e-06
4.01e-05;3.39e-05;2.64e-05;2.08e-05;0.00078761;0.000598498;1.11e-05
2.9e-05;2.42e-05;1.81e-05;1.36e-05;0.000421395;0.000354285;7.48e-06
2.8e-05;2.23e-05;1.52e-05;9.86e-06;0.000446933;0.000330469;7.81e-06
3.19e-05;2.66e-05;2.02e-05;1.56e-05;0.000552694;0.000442979;9.37e-06
3.2e-05;2.66e-05;2e-05;1.52e-05;0.000496723;0.000396837;8.75e-06
2.99e-05;2.43e-05;1.71e-05;1.16e-05;0.000440983;0.000346257;7.87e-06
3.81e-05;3.32e-05;2.73e-05;2.28e-05;0.000638591;0.000557902;1.01e-05
3.14e-05;2.59e-05;1.88e-05;1.34e-05;0.000514265;0.000406546;8.6e-06
3.41e-05;2.73e-05;1.87e-05;1.24e-05;0.000493965;0.00038529;9.82e-06
2.64e-05;2.19e-05;1.64e-05;1.24e-05;0.000413828;0.000342887;7.5e-06
3.24e-05;2.64e-05;1.89e-05;1.32e-05;0.000560794;0.000424013;9.34e-06
2.83e-05;2.29e-05;1.61e-05;1.11e-05;0.00036254;0.00029137;7.94e-06
3.1e-05;2.57e-05;1.93e-05;1.47e-05;0.000535146;0.00042897;9.5e-06
4.06e-05;3.43e-05;2.65e-05;2.06e-05;0.000635204;0.000510393;1.11e-05
2.43e-05;2.01e-05;1.47e-05;1.07e-05;0.000438458;0.000331895;7.06e-06
2.91e-05;2.42e-05;1.82e-05;1.37e-05;0.000456215;0.000360005;8.69e-06
3.79e-05;3.16e-05;2.37e-05;1.78e-05;0.000664846;0.000520384;1.04e-05
2.33e-05;1.93e-05;1.44e-05;1.08e-05;0.00037629;0.00031267;6.85e-06
3.64e-05;2.96e-05;2.09e-05;1.43e-05;0.000652328;0.000479758;1e-05
4.07e-05;3.26e-05;2.24e-05;1.48e-05;0.000792673;0.000551791;1.12e-05
2.8e-05;2.27e-05;1.61e-05;1.13e-05;0.000426122;0.000324963;8.16e-06
3.04e-05;2.58e-05;2.03e-05;1.6e-05;0.000557014;0.000437581;8.08e-06
3.23e-05;2.68e-05;2.02e-05;1.54e-05;0.000509805;0.00041943;9.08e-06
3.76e-05;3.08e-05;2.18e-05;1.48e-05;0.000520206;0.000433145;9.66e-06
2.68e-05;2.15e-05;1.5e-05;1.01e-05;0.000541008;0.000366033;7.72e-06
2.5e-05;2.02e-05;1.41e-05;9.58e-06;0.000397781;0.000300557;7.35e-06
3.8e-05;3.07e-05;2.14e-05;1.45e-05;0.000530739;0.000429159;1.06e-05
2.46e-05;1.99e-05;1.41e-05;9.69e-06;0.000448883;0.000334404;7.16e-06
3.39e-05;2.85e-05;2.16e-05;1.64e-05;0.000587415;0.000474308;9.14e-06
4.01e-05;3.37e-05;2.59e-05;2.01e-05;0.000681078;0.000543576;1.07e-05
3.88e-05;3.16e-05;2.27e-05;1.6e-05;0.00062774;0.000482551;1.06e-05
3.42e-05;2.88e-05;2.17e-05;1.63e-05;0.00053672;0.000431215;9.65e-06
3.09e-05;2.49e-05;1.74e-05;1.19e-05;0.000483069;0.000382977;9.36e-06
2.91e-05;2.46e-05;1.9e-05;1.46e-05;0.000526635;0.000421197;7.56e-06
3.25e-05;2.69e-05;1.97e-05;1.42e-05;0.000603258;0.000447535;8.43e-06
3.84e-05;3.2e-05;2.4e-05;1.8e-05;0.000641823;0.000524972;1e-05
4.13e-05;3.36e-05;2.38e-05;1.65e-05;0.000812179;0.000567659;1.08e-05
3.8e-05;3.28e-05;2.66e-05;2.2e-05;0.000654864;0.00056796;1.05e-05
3.18e-05;2.61e-05;1.9e-05;1.37e-05;0.000581565;0.000431311;8.87e-06
3.28e-05;2.67e-05;1.91e-05;1.35e-05;0.000626815;0.000467068;9.76e-06
2.47e-05;1.95e-05;1.3e-05;8.16e-06;0.000345319;0.000257395;6.98e-06
2.48e-05;2.11e-05;1.66e-05;1.33e-05;0.000502505;0.00040129;7.2e-06
2.72e-05;2.31e-05;1.8e-05;1.43e-05;0.000520825;0.000406427;7.39e-06
3.83e-05;3.17e-05;2.32e-05;1.64e-05;0.000650744;0.000484561;1.02e-05
3.05e-05;2.6e-05;2.06e-05;1.65e-05;0.000546985;0.000419927;8.22e-06
3.12e-05;2.59e-05;1.92e-05;1.4e-05;0.000623286;0.000466051;8.77e-06
3.45e-05;2.99e-05;2.43e-05;2.01e-05;0.000596896;0.000475394;9.54e-06
